"initial_name","scientificName","kingdom","phylum","class","order","family","db","db_code","BodySize","Units","Field","Code","BodySizeSource"
"Amphispiza bilineata","Amphispiza bilineata","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491757","18.1","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Artemisiospiza nevadensis","Artemisiospiza nevadensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:8276794","21.5","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Geothlypis formosa","Geothlypis formosa","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6093586","22.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Myiarchus cinerascens","Myiarchus cinerascens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2483600","22.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Pipilo chlorurus","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491276","24.1","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Sayornis nigricans","Sayornis nigricans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2483612","17.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Selasphorus calliope","Selasphorus calliope","Animalia","Chordata","Aves","Apodiformes","Trochilidae","gbif","GBIF:7597244","4.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Setophaga dominica","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7341800","16.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Setophaga occidentalis","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6092644","17.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Tyrannus vociferans","Tyrannus vociferans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:5229681","19.5","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Vireo bellii","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487441","19.2","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Anas crecca","Anas crecca","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:8214667","640","mm","TR_BodyLength_mm","MeanBodyLength","BIOTIME"
"Anas crecca","Anas crecca","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:8214667","36","cm","LengthU_MEAN","MeanBodyLength","Storchova & Horak 2018"
"Anas crecca","Anas crecca","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:8214667","25.9","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Gallinula chloropus","Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:5228199","33.5","cm","LengthU_MEAN","MeanBodyLength","Storchova & Horak 2018"
"Gallinula chloropus","Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:5228199","45.9","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Larus smithsonianus","Larus smithsonianus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:4848480","64.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Coragyps atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942","76.1","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Dryobates pubescens","Dryobates pubescens","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:9149595","15.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Elanus leucurus","Elanus leucurus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480367","31.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498","37.7","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Leuconotopicus villosus","Leuconotopicus villosus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:9192501","23.1","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Poecile carolinensis","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487844","14.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Melanerpes formicivorus","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478133","21.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Rallus crepitans","Rallus crepitans","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:7751637","48.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Rynchops niger","Rynchops niger","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481209","32.3","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Sternula antillarum","Sternula antillarum","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5789285","14.6","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Setophaga auduboni","Setophaga auduboni","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7760978","19.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Thalasseus maximus","Thalasseus maximus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5789281","32.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Chamaea fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558","24.9","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Corvus ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481","47.1","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Leuconotopicus albolarvatus","Leuconotopicus albolarvatus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:9128444","20.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Egretta tricolor","Egretta tricolor","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480881","96.8","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Piranga rubra","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2488485","19.5","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Spinus psaltria","Spinus psaltria","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231647","12.4","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Limnothlypis swainsonii","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:2489636","17.7","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Passerella unalaschcensis","Passerella unalaschcensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:7425645","24.3","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Passerina caerulea","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:5230862","20.3","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Cairina moschata","Cairina moschata","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:9751099","56.2","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Callipepla squamata","Callipepla squamata","Animalia","Chordata","Aves","Galliformes","Odontophoridae","gbif","GBIF:5228075","31.7","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Nyctanassa violacea","Nyctanassa violacea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480953","98.5","cm","Tarsus.Length","MeanBodyLength","AVONET"
"Ammospiza leconteii","Ammodramus leconteii","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491080",NA,NA,NA,NA,NA
"Spatula cyanoptera","Anas cyanoptera","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498139",NA,NA,NA,NA,NA
"Spatula discors","Anas discors","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498073",NA,NA,NA,NA,NA
"Spatula clypeata","Anas clypeata","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498089",NA,NA,NA,NA,NA
"Larus pipixcan","Leucophaeus pipixcan","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5846430",NA,NA,NA,NA,NA
"Nannopterum auritus","Phalacrocorax auritus","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","gbif","GBIF:2481875",NA,NA,NA,NA,NA
"Steganopus tricolor","Phalaropus tricolor","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif","GBIF:5229389",NA,NA,NA,NA,NA
"Ammospiza maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095",NA,NA,NA,NA,NA
"Aratinga nenday","Nandayus nenday","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","gbif","GBIF:2480102",NA,NA,NA,NA,NA
"Arborimus albipes","Arborimus albipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437933","103.72","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Chaetodipus hispidus","Chaetodipus hispidus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439583","104.51","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Euderma maculatum","Euderma maculatum","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432579",NA,NA,NA,NA,NA
"Lasiurus seminolus","Lasiurus seminolus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:5218539",NA,NA,NA,NA,NA
"Myotis ciliolabrum","Myotis ciliolabrum","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432456",NA,NA,NA,NA,NA
"Neotoma fuscipes","Neotoma fuscipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438455","207.38","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Nycticeius humeralis","Nycticeius humeralis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432314",NA,NA,NA,NA,NA
"Perognathus flavescens","Perognathus flavescens","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439558","69.29","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Peromyscus boylii","Peromyscus boylii","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438038",NA,NA,NA,NA,NA
