"initial_name","genus","species","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Acris gryllus","Acris","gryllus","Acris gryllus","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2427618"
"Agkistrodon contortrix","Agkistrodon","contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881"
"Agkistrodon piscivorus","Agkistrodon","piscivorus","Agkistrodon piscivorus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9105722"
"Alligator mississippiensis","Alligator","mississippiensis","Alligator mississippiensis","Animalia","Chordata","Crocodylia",NA,"Alligatoridae","gbif","GBIF:2441370"
"Ambystoma barbouri","Ambystoma","barbouri","Ambystoma barbouri","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432017"
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006"
"Ambystoma talpoideum","Ambystoma","talpoideum","Ambystoma talpoideum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2431944"
"Ammospermophilus leucurus","Ammospermophilus","leucurus","Ammospermophilus leucurus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437570"
"Ammospiza maritima","Ammospiza","maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095"
"Amphispiza bilineata","Amphispiza","bilineata","Amphispiza bilineata","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491757"
"Amphiuma means","Amphiuma","means","Amphiuma means","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","gbif","GBIF:2432084"
"Anaxyrus quercicus","Anaxyrus","quercicus","Anaxyrus quercicus","Animalia","Chordata","Amphibia","Anura","Bufonidae","gbif","GBIF:2422914"
"Anaxyrus terrestris","Anaxyrus","terrestris","Anaxyrus terrestris","Animalia","Chordata","Amphibia","Anura","Bufonidae","gbif","GBIF:2422916"
"Aneides flavipunctatus","Aneides","flavipunctatus","Aneides flavipunctatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431706"
"Anolis carolinensis","Anolis","carolinensis","Anolis carolinensis","Animalia","Chordata","Squamata",NA,"Dactyloidae","gbif","GBIF:2466939"
"Aphelocoma californica","Aphelocoma","californica","Aphelocoma californica","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482414"
"Arborimus albipes","Arborimus","albipes","Arborimus albipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437933"
"Arborimus longicaudus","Arborimus","longicaudus","Arborimus longicaudus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437931"
"Artemisiospiza nevadensis","Artemisiospiza","nevadensis","Artemisiospiza nevadensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:8276794"
"Aspidoscelis sexlineata","Aspidoscelis","sexlineata","Aspidoscelis sexlineatus","Animalia","Chordata","Squamata",NA,"Teiidae","gbif","GBIF:2472425"
