scientific_name,genus,species
Acris gryllus,Acris,gryllus
Agkistrodon contortrix,Agkistrodon,contortrix
Agkistrodon piscivorus,Agkistrodon,piscivorus
Alligator mississippiensis,Alligator,mississippiensis
Ambystoma barbouri,Ambystoma,barbouri
Ambystoma opacum,Ambystoma,opacum
Ambystoma talpoideum,Ambystoma,talpoideum
Ammospermophilus leucurus,Ammospermophilus,leucurus
Ammospiza maritima,Ammospiza,maritima
Amphispiza bilineata,Amphispiza,bilineata
Amphiuma means,Amphiuma,means
Anaxyrus quercicus,Anaxyrus,quercicus
Anaxyrus terrestris,Anaxyrus,terrestris
Aneides flavipunctatus,Aneides,flavipunctatus
Anolis carolinensis,Anolis,carolinensis
Aphelocoma californica,Aphelocoma,californica
Arborimus albipes,Arborimus,albipes
Arborimus longicaudus,Arborimus,longicaudus
Artemisiospiza nevadensis,Artemisiospiza,nevadensis
Aspidoscelis sexlineata,Aspidoscelis,sexlineata
Aspidoscelis tigris,Aspidoscelis,tigris
Baeolophus inornatus,Baeolophus,inornatus
Baeolophus ridgwayi,Baeolophus,ridgwayi
Bassariscus astutus,Bassariscus,astutus
Batrachoseps attenuatus,Batrachoseps,attenuatus
Batrachoseps wrighti,Batrachoseps,wrighti
Blarina carolinensis,Blarina,carolinensis
Blarina hylophaga,Blarina,hylophaga
Brachylagus idahoensis,Brachylagus,idahoensis
Carphophis amoenus,Carphophis,amoenus
Carphophis vermis,Carphophis,vermis
Cemophora coccinea,Cemophora,coccinea
Chaetodipus hispidus,Chaetodipus,hispidus
Chamaea fasciata,Chamaea,fasciata
Corvus ossifragus,Corvus,ossifragus
Corynorhinus rafinesquii,Corynorhinus,rafinesquii
Crotalus horridus,Crotalus,horridus
Crotaphytus bicinctores,Crotaphytus,bicinctores
Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis
Cynomys leucurus,Cynomys,leucurus
Dasypus novemcinctus,Dasypus,novemcinctus
Desmognathus aeneus,Desmognathus,aeneus
Desmognathus auriculatus,Desmognathus,auriculatus
Desmognathus carolinensis,Desmognathus,carolinensis
Desmognathus marmoratus,Desmognathus,marmoratus
Desmognathus monticola,Desmognathus,monticola
Desmognathus ocoee,Desmognathus,ocoee
Desmognathus orestes,Desmognathus,orestes
Desmognathus quadramaculatus,Desmognathus,quadramaculatus
Desmognathus wrighti,Desmognathus,wrighti
Dipodomys californicus,Dipodomys,californicus
Dipodomys microps,Dipodomys,microps
Dryophytes avivoca,Dryophytes,avivoca
Dryophytes cinereus,Dryophytes,cinereus
Dryophytes gratiosus,Dryophytes,gratiosus
Dryophytes squirellus,Dryophytes,squirellus
Egretta caerulea,Egretta,caerulea
Elanus leucurus,Elanus,leucurus
Elgaria multicarinata,Elgaria,multicarinata
Eurycea cirrigera,Eurycea,cirrigera
Eurycea guttolineata,Eurycea,guttolineata
Eurycea longicauda,Eurycea,longicauda
Eurycea lucifuga,Eurycea,lucifuga
Eurycea quadridigitata,Eurycea,quadridigitata
Eurycea wilderae,Eurycea,wilderae
Farancia abacura,Farancia,abacura
Farancia erytrogramma,Farancia,erytrogramma
Gambelia wislizenii,Gambelia,wislizenii
Gastrophryne carolinensis,Gastrophryne,carolinensis
Gastrophryne olivacea,Gastrophryne,olivacea
Geothlypis formosa,Geothlypis,formosa
Gymnorhinus cyanocephalus,Gymnorhinus,cyanocephalus
Haldea striatula,Haldea,striatula
Helmitheros vermivorum,Helmitheros,vermivorum
Holbrookia maculata,Holbrookia,maculata
Ictinia mississippiensis,Ictinia,mississippiensis
Lampropeltis californiae,Lampropeltis,californiae
Lampropeltis calligaster,Lampropeltis,calligaster
Lampropeltis elapsoides,Lampropeltis,elapsoides
Lampropeltis gentilis,Lampropeltis,gentilis
Lampropeltis getula,Lampropeltis,getula
Lampropeltis holbrooki,Lampropeltis,holbrooki
Lampropeltis nigra,Lampropeltis,nigra
Lampropeltis zonata,Lampropeltis,zonata
Leiothlypis virginiae,Leiothlypis,virginiae
Lepus californicus,Lepus,californicus
Leucosticte atrata,Leucosticte,atrata
Limnothlypis swainsonii,Limnothlypis,swainsonii
Lithobates areolatus,Lithobates,areolatus
Lithobates blairi,Lithobates,blairi
Lithobates sphenocephalus,Lithobates,sphenocephalus
Lithobates virgatipes,Lithobates,virgatipes
Malaclemys terrapin,Malaclemys,terrapin
Marmota olympus,Marmota,olympus
Masticophis flagellum,Masticophis,flagellum
Masticophis taeniatus,Masticophis,taeniatus
Melanerpes formicivorus,Melanerpes,formicivorus
Microdipodops megacephalus,Microdipodops,megacephalus
Microtus californicus,Microtus,californicus
Myiarchus cinerascens,Myiarchus,cinerascens
Myodes californicus,Myodes,californicus
Myotis austroriparius,Myotis,austroriparius
Necturus punctatus,Necturus,punctatus
Neotamias senex,Neotamis,senex
Neotamias siskiyou,Neotamis,siskiyou
Neotamias umbrinus,Neotamis,umbrinus
Neotoma floridana,Neotoma,floridana
Neotoma fuscipes,Neotoma,fuscipes
Neotoma lepida,Neotoma,lepida
Nerodia erythrogaster,Nerodia,erythrogaster
Nerodia fasciata,Nerodia,fasciata
Nerodia rhombifer,Nerodia,rhombifer
Nerodia taxispilota,Nerodia,taxispilota
Nyctanassa violacea,Nyctanassa,violacea
Ochrotomys nuttalli,Ochrotomys,nuttalli
Opheodrys aestivus,Opheodrys,aestivus
Ophisaurus attenuatus,Ophisaurus,attenuatus
Ophisaurus ventralis,Ophisaurus,ventralis
Oreortyx pictus,Oreortyx,pictus
Otospermophilus beecheyi,Otospermophilus,beecheyi
Pantherophis alleghaniensis,Pantherophis,alleghaniensis
Pantherophis emoryi,Pantherophis,emoryi
Pantherophis guttatus,Pantherophis,guttatus
Pantherophis obsoletus,Pantherophis,obsoletus
Pantherophis ramspotti,Pantherophis,ramspotti
Parastrellus hesperus,Parastrellus,hesperus
Passerella megarhyncha,Passerella,megarhyncha
Passerina caerulea,Passerina,caerulea
Perognathus flavescens,Perognathus,flavescens
Perognathus flavus,Perognathus,flavus
Perognathus longimembris,Perognathus,longimembris
Peromyscus boylii,Peromyscus,boylii
Peromyscus crinitus,Peromyscus,crinitus
Peromyscus gossypinus,Peromyscus,gossypinus
Peromyscus truei,Peromyscus,truei
Phrynosoma douglasii,Phrynosoma,douglasii
Phrynosoma platyrhinos,Phrynosoma,platyrhinos
Pipilo chlorurus,Pipilo,chlorurus
Piranga rubra,Piranga,rubra
Pituophis melanoleucus,Pituophis,melanoleucus
Plegadis falcinellus,Plegadis,falcinellus
Plestiodon anthracinus,Plestiodon,anthracinus
Plestiodon inexpectatus,Plestiodon,inexpectatus
Plestiodon laticeps,Plestiodon,laticeps
Plestiodon multivirgatus,Plestiodon,multivirgatus
Plethodon albagula,Plethodon,albagula
Plethodon cylindraceus,Plethodon,cylindraceus
Plethodon dorsalis,Plethodon,dorsalis
Plethodon dunni,Plethodon,dunni
Plethodon electromorphus,Plethodon,electromorphus
Plethodon hoffmani,Plethodon,hoffmani
Plethodon jordani,Plethodon,jordani
Plethodon kentucki,Plethodon,kentucki
Plethodon metcalfi,Plethodon,metcalfi
Plethodon montanus,Plethodon,montanus
Plethodon richmondi,Plethodon,richmondi
Plethodon serratus,Plethodon,serratus
Plethodon teyahalee,Plethodon,teyahalee
Plethodon ventralis,Plethodon,ventralis
Plethodon wehrlei,Plethodon,wehrlei
Plethodon yonahlossee,Plethodon,yonahlossee
Poecile carolinensis,Poecile,carolinensis
Pseudacris brachyphona,Pseudacris,brachyphona
Pseudacris feriarum,Pseudacris,feriarum
Pseudacris kalmi,Pseudacris,kalmi
Pseudacris nigrita,Pseudacris,nigrita
Pseudacris ocularis,Pseudacris,ocularis
Pseudotriton montanus,Pseudotriton,montanus
Quiscalus major,Quiscalus,major
Quiscalus mexicanus,Quiscalus,mexicanus
Rallus crepitans,Rallus,crepitans
Rana boylii,Rana,boylii
Regina grahamii,Regina,grahamii
Reithrodontomys humulis,Reithrodontomys,humulis
Reithrodontomys montanus,Reithrodontomys,montanus
Rhadinaea flavilata,Rhadinaea,flavilata
Rhinocheilus lecontei,Rhinocheilus,lecontei
Sayornis nigricans,Sayornis,nigricans
Scapanus latimanus,Scapanus,latimanus
Scaphiopus holbrookii,Scaphiopus,holbrookii
Sceloporus graciosus,Sceloporus,graciosus
Sceloporus occidentalis,Sceloporus,occidentalis
Sceloporus undulatus,Sceloporus,undulatus
Scincella lateralis,Scincella,lateralis
Sciurus griseus,Sciurus,griseus
Selasphorus platycercus,Selasphorus,platycercus
Setophaga dominica,Setophaga,dominica
Setophaga occidentalis,Setophaga,occidentalis
Sigmodon hispidus,Sigmodon,hispidus
Siren intermedia,Siren,intermedia
Siren lacertina,Siren,lacertina
Sistrurus miliarius,Sistrurus,miliarius
Sitta pusilla,Sitta,pusilla
Sonora semiannulata,Sonora,semiannulata
Sorex longirostris,Sorex,longirostris
Sorex nanus,Sorex,nanus
Sorex sonomae,Sorex,sonomae
Spinus psaltria,Spinus,psaltria
Stereochilus marginatus,Stereochilus,marginatus
Sylvilagus aquaticus,Sylvilagus,aquaticus
Sylvilagus audubonii,Sylvilagus,audubonii
Sylvilagus bachmani,Sylvilagus,bachmani
Sylvilagus palustris,Sylvilagus,palustris
Sylvilagus transitionalis,Sylvilagus,transitionalis
Tadarida brasiliensis,Tadarida,brasiliensis
Tantilla coronata,Tantilla,coronata
Tantilla gracilis,Tantilla,gracilis
Thamnophis atratus,Thamnophis,atratus
Thomomys bottae,Thomomys,bottae
Thomomys idahoensis,Thomomys,idahoensis
Thomomys mazama,Thomomys,mazama
Tropidoclonion lineatum,Tropidoclonion,lineatum
Tyrannus vociferans,Tyrannus,vociferans
Urocitellus armatus,Urocitellus,armatus
Urocitellus beldingi,Urocitellus,beldingi
Urocitellus canus,Urocitellus,canus
Urocitellus elegans,Urocitellus,elegans
Urocitellus mollis,Urocitellus,mollis
Uta stansburiana,Uta,stansburiana
Vireo bellii,Vireo,bellii
Vireo plumbeus,Vireo,plumbeus
Virginia valeriae,Virginia,valeriae
Vulpes macrotis,Vulpes,macrotis
