"x"
"Amphispiza bilineata"
"Artemisiospiza nevadensis"
"Geothlypis formosa"
"Myiarchus cinerascens"
"Pipilo chlorurus"
"Sayornis nigricans"
"Selasphorus calliope"
"Setophaga dominica"
"Setophaga occidentalis"
"Tyrannus vociferans"
"Vireo bellii"
"Anas crecca"
"Gallinula chloropus"
"Larus smithsonianus"
"Coragyps atratus"
"Dryobates pubescens"
"Elanus leucurus"
"Gymnorhinus cyanocephalus"
"Leuconotopicus villosus"
"Poecile carolinensis"
"Melanerpes formicivorus"
"Rallus crepitans"
"Rynchops niger"
"Sternula antillarum"
"Setophaga auduboni"
"Thalasseus maximus"
"Chamaea fasciata"
"Corvus ossifragus"
"Leuconotopicus albolarvatus"
"Egretta tricolor"
"Piranga rubra"
"Spinus psaltria"
"Limnothlypis swainsonii"
"Passerella unalaschcensis"
"Passerina caerulea"
"Cairina moschata"
"Callipepla squamata"
"Nyctanassa violacea"
"Ammospiza leconteii"
"Spatula cyanoptera"
"Spatula discors"
"Spatula clypeata"
"Larus pipixcan"
"Nannopterum auritus"
"Steganopus tricolor"
"Ammospiza maritima"
"Aratinga nenday"
"Arborimus albipes"
"Chaetodipus hispidus"
"Euderma maculatum"
"Lasiurus seminolus"
"Myotis ciliolabrum"
"Neotoma fuscipes"
"Nycticeius humeralis"
"Perognathus flavescens"
"Peromyscus boylii"
"Peromyscus truei"
"Parastrellus hesperus"
"Corynorhinus rafinesquii"
"Reithrodontomys montanus"
"Sciurus griseus"
"Otospermophilus beecheyi"
"Sylvilagus transitionalis"
"Tadarida brasiliensis"
"Thomomys idahoensis"
"Thomomys mazama"
"Didelphis virginiana"
"Lepus californicus"
"Lepus europaeus"
"Sylvilagus audubonii"
"Sylvilagus bachmani"
"Sorex longirostris"
"Sorex merriami"
"Sorex nanus"
"Sorex sonomae"
"Mustela frenata"
"Marmota olympus"
"Urocitellus elegans"
"Neotamias ruficaudus"
"Arborimus longicaudus"
"Myodes californicus"
"Ochrotomys nuttalli"
"Reithrodontomys humulis"
"Sorex rohweri"
"Rana boylii"
"Rana cascadae"
"Anaxyrus woodhousii"
"Pseudacris brachyphona"
"Pseudacris feriarum"
"Lithobates areolatus"
"Lithobates blairi"
"Lithobates sphenocephalus"
"Scaphiopus holbrookii"
"Ambystoma barbouri"
"Ambystoma opacum"
"Cryptobranchus alleganiensis"
"Batrachoseps wrighti"
"Desmognathus monticola"
"Eurycea cirrigera"
"Eurycea longicauda"
"Eurycea lucifuga"
"Plethodon cylindraceus"
"Plethodon dorsalis"
"Plethodon dunni"
"Plethodon electromorphus"
"Plethodon glutinosus"
"Plethodon hoffmani"
"Plethodon kentucki"
"Plethodon richmondi"
"Plethodon wehrlei"
"Pseudotriton montanus"
"Pseudotriton ruber"
"Siren intermedia"
"Pseudacris kalmi"
"Pantherophis guttatus"
"Lampropeltis gentilis"
"Virginia valeriae"
"Lampropeltis calligaster"
"Crotalus horridus"
"Carphophis amoenus"
"Chelonia mydas"
"Pantherophis alleghaniensis"
"Sceloporus occidentalis"
"Masticophis taeniatus"
"Regina grahamii"
"Malaclemys terrapin"
"Sceloporus undulatus"
"Opheodrys aestivus"
"Nerodia erythrogaster"
"Elgaria multicarinata"
"Agkistrodon contortrix"
"Pantherophis ramspotti"
"Sceloporus graciosus"
"Uta stansburiana"
"Phrynosoma douglasii"
"Plestiodon laticeps"
"Pituophis catenifer"
"Scincella lateralis"
"Plestiodon anthracinus"
"Hypsiglena torquata"
"Lampropeltis nigra"
"Ophisaurus attenuatus"
"Aspidoscelis sexlineata"
