"initial_name","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Amphispiza bilineata","Amphispiza bilineata","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491757"
"Artemisiospiza nevadensis","Artemisiospiza nevadensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:8276794"
"Geothlypis formosa","Geothlypis formosa","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6093586"
"Myiarchus cinerascens","Myiarchus cinerascens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2483600"
"Pipilo chlorurus","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491276"
"Sayornis nigricans","Sayornis nigricans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2483612"
"Selasphorus calliope","Selasphorus calliope","Animalia","Chordata","Aves","Apodiformes","Trochilidae","gbif","GBIF:7597244"
"Setophaga dominica","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7341800"
"Setophaga occidentalis","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6092644"
"Tyrannus vociferans","Tyrannus vociferans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:5229681"
"Vireo bellii","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487441"
"Anas crecca","Anas crecca","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:8214667"
"Gallinula chloropus","Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:5228199"
"Larus smithsonianus","Larus smithsonianus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:4848480"
"Coragyps atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942"
"Dryobates pubescens","Dryobates pubescens","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:9149595"
"Elanus leucurus","Elanus leucurus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480367"
"Gymnorhinus cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498"
"Leuconotopicus villosus","Leuconotopicus villosus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:9192501"
"Poecile carolinensis","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487844"
"Melanerpes formicivorus","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478133"
"Rallus crepitans","Rallus crepitans","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:7751637"
"Rynchops niger","Rynchops niger","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:2481209"
"Sternula antillarum","Sternula antillarum","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5789285"
"Setophaga auduboni","Setophaga auduboni","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7760978"
"Thalasseus maximus","Thalasseus maximus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5789281"
"Chamaea fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558"
"Corvus ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481"
"Leuconotopicus albolarvatus","Leuconotopicus albolarvatus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:9128444"
"Egretta tricolor","Egretta tricolor","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480881"
"Piranga rubra","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2488485"
"Spinus psaltria","Spinus psaltria","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231647"
"Limnothlypis swainsonii","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:2489636"
"Passerella unalaschcensis","Passerella unalaschcensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:7425645"
"Passerina caerulea","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:5230862"
"Cairina moschata","Cairina moschata","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:9751099"
"Callipepla squamata","Callipepla squamata","Animalia","Chordata","Aves","Galliformes","Odontophoridae","gbif","GBIF:5228075"
"Nyctanassa violacea","Nyctanassa violacea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480953"
"Ammospiza leconteii","Ammodramus leconteii","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491080"
"Spatula cyanoptera","Anas cyanoptera","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498139"
"Spatula discors","Anas discors","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498073"
"Spatula clypeata","Anas clypeata","Animalia","Chordata","Aves","Anseriformes","Anatidae","gbif","GBIF:2498089"
"Larus pipixcan","Leucophaeus pipixcan","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif","GBIF:5846430"
"Nannopterum auritus","Phalacrocorax auritus","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","gbif","GBIF:2481875"
"Steganopus tricolor","Phalaropus tricolor","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif","GBIF:5229389"
"Ammospiza maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095"
"Aratinga nenday","Nandayus nenday","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","gbif","GBIF:2480102"
"Arborimus albipes","Arborimus albipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437933"
"Chaetodipus hispidus","Chaetodipus hispidus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439583"
"Euderma maculatum","Euderma maculatum","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432579"
"Lasiurus seminolus","Lasiurus seminolus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:5218539"
"Myotis ciliolabrum","Myotis ciliolabrum","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432456"
"Neotoma fuscipes","Neotoma fuscipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438455"
"Nycticeius humeralis","Nycticeius humeralis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432314"
"Perognathus flavescens","Perognathus flavescens","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439558"
"Peromyscus boylii","Peromyscus boylii","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438038"
"Peromyscus truei","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437985"
"Parastrellus hesperus","Parastrellus hesperus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:8397398"
"Corynorhinus rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491"
"Reithrodontomys montanus","Reithrodontomys montanus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437866"
"Sciurus griseus","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:5219672"
"Otospermophilus beecheyi","Otospermophilus beecheyi","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:8080937"
"Sylvilagus transitionalis","Sylvilagus transitionalis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436905"
"Tadarida brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011"
"Thomomys idahoensis","Thomomys idahoensis","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439384"
"Thomomys mazama","Thomomys mazama","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439389"
"Didelphis virginiana","Didelphis virginiana","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","gbif","GBIF:2439923"
"Lepus californicus","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436801"
