Island.ID	Region	Archipelago	Island	Arch.isl	Weigelt.ID	Long	Lat	Area	Dist	SLMP	Elev	Temp	Prec	Max.mass.pre.extinction	Log.mean.pre.extinction	Reversed.log.mean.pre.extinction	Max.mass.post.extinction	Log.mean.post.extinction	Reversed.log.mean.post.extinction	Grams.change.in.Max.mass	Grams.change.in.mean	Proportional.loss.mean.mass	Proportional.loss.max.mass	Species.richness.pre.extinction	Species.richness.post.extinction	Number.extinct	Proportion.richness.lost	ID.mass.loss
66	Atlantic	Azores	Corvo	Azores, Corvo	19159	-31.105223	39.699105	17.12	1855.31	0.443	627	17.5	1558	490	4.016249211	55.49257405	490	4.016249211	55.49257405	0	0	0	0	9	9	0	0	NA
67	Atlantic	Azores	Faial	Azores, Faial	19103	-28.701332	38.578217	173.09	1667.86	0.46	1038	17.5	1368	490	3.843445825	46.68606962	490	3.843445825	46.68606962	0	0	0	0	11	11	0	0	NA
68	Atlantic	Azores	Flores	Azores, Flores	19158	-31.20249	39.44195	140.98	1872.34	0.438	852	17.6	1647	490	4.016249211	55.49257405	490	4.016249211	55.49257405	0	0	0	0	9	9	0	0	NA
69	Atlantic	Azores	Graciosa	Azores, Graciosa	19152	-28.011327	39.052294	60.69	1602.92	0.478	371	17.3	1183	490	3.901980754	49.50040017	490	3.901980754	49.50040017	0	0	0	0	10	10	0	0	NA
70	Atlantic	Azores	Pico	Azores, Pico	19100	-28.333573	38.469473	444.97	1637.47	0.46	2260	17.6	1828	490	3.843445825	46.68606962	490	3.843445825	46.68606962	0	0	0	0	11	11	0	0	NA
71	Atlantic	Azores	Santa Maria	Azores, Santa Maria	18774	-25.099823	36.971334	96.89	1385.3	0.459	575	18	909	490	3.901980754	49.50040017	490	3.901980754	49.50040017	0	0	0	0	10	10	0	0	NA
72	Atlantic	Azores	Sao Jorge	Azores, Sao Jorge	19139	-28.029236	38.637234	243.78	1608.94	0.465	1053	17.5	1374	490	3.901980754	49.50040017	490	3.901980754	49.50040017	0	0	0	0	10	10	0	0	NA
73	Atlantic	Azores	Sao Miguel	Azores, Sao Miguel	19038	-25.481891	37.7954	744.72	1400.65	0.445	1094	17.5	1240	490	3.766058366	43.20941303	490	3.766058366	43.20941303	0	0	0	0	13	13	0	0	NA
74	Atlantic	Azores	Terceira	Azores, Terceira	19146	-27.2123	38.723901	400.56	1537.24	0.46	930	17.4	1364	490	3.796463448	44.54337563	490	3.796463448	44.54337563	0	0	0	0	12	12	0	0	NA
24	Pacific	Bismarck	Lavongai	Bismarck, Lavongai	65407	150.233483	-2.53034	1221.32	1239.27	0.362	825	27	3531	1706.5	4.797148745	121.1644537	1706.5	4.797148745	121.1644537	0	0	0	0	39	39	0	0	NA
25	Pacific	Bismarck	Manus	Bismarck, Manus	65798	146.912301	-2.088798	1855.71	1067.08	0.427	614	27.1	3997	1386	4.677846551	107.5382449	1386	4.677846551	107.5382449	0	0	0	0	33	33	0	0	NA
26	Pacific	Bismarck	Mussau	Bismarck, Mussau	66333	149.619462	-1.430651	342.84	1289.15	0.342	562	27.1	3471	1386	4.611059328	100.5906518	1386	4.552737568	94.89182585	0	5.698825908	0.056653633	0	28	27	1	0.035714286	7
27	Pacific	Bismarck	UmboiIsland	Bismarck, UmboiIsland	84232	147.919974	-5.634676	870.99	813.78	0.608	1493	26.5	4058	1386	4.927125404	137.9822983	1386	4.927125404	137.9822983	0	0	0	0	47	47	0	0	NA
28	Pacific	BoninIslands	Haha-Jima	BoninIslands, Haha-Jima	60658	142.157199	26.667203	22.49	1553.12	0.295	374	23.4	1462	519.25	4.229241678	68.66514212	424.334619	4.004447924	54.84153933	94.915381	13.82360279	0.201319073	0.182793223	10	9	1	0.1	15
1	Atlantic	Canaryislands	LaGomera	Canaryislands, LaGomera	18241	-17.232609	28.117411	372.21	347.18	0.757	1376	20.5	472	941	4.149662319	63.41258344	941	4.039830036	56.81668517	0	6.595898267	0.104015606	0	15	14	1	0.066666667	11
2	Atlantic	Canaryislands	Lanzarote	Canaryislands, Lanzarote	18249	-13.641825	29.024478	818.57	138.1	0.875	623	19.9	205	1555	4.41384901	82.58672968	1555	4.41384901	82.58672968	0	0	0	0	7	7	0	0	NA
3	Atlantic	Canaryislands	LaPalma	Canaryislands, LaPalma	18247	-17.858329	28.68988	716.46	434.36	0.655	2357	20.4	598	3199	4.499276368	89.95201556	941	4.224559662	68.3444023	2258	21.60761327	0.240212664	0.705845577	14	13	1	0.071428571	16
4	Atlantic	CapeVerde	BoaVista	CapeVerde, BoaVista	18196	-22.813981	16.098296	628.74	586.53	0.507	267	24.2	87	559	3.779594257	43.79826727	559	3.779594257	43.79826727	0	0	0	0	3	3	0	0	NA
5	Atlantic	CapeVerde	Santiago1	CapeVerde, Santiago	18189	-23.624804	15.083736	1009.57	656.74	0.467	1086	25.2	526	559	3.779594257	43.79826727	559	3.779594257	43.79826727	0	0	0	0	3	3	0	0	NA
6	Atlantic	CapeVerde	SantoAntao	CapeVerde, SantoAntao	18205	-25.170055	17.056544	791.8	857.07	0.42	1934	26.4	403	559	3.779594257	43.79826727	559	3.779594257	43.79826727	0	0	0	0	3	3	0	0	NA
7	Atlantic	CapeVerde	SaoNicolao	CapeVerde, SaoNicolao	18199	-24.256203	16.598519	349.64	749.6	0.464	1062	24	379	559	3.779594257	43.79826727	559	3.779594257	43.79826727	0	0	0	0	3	3	0	0	NA
11	Indian	Comoros	Anjouan	Comoros, Anjouan	54277	44.436436	-12.222163	432.08	417.78	0.706	1261	25.6	1876	734.27	4.298927196	73.62077063	734.27	4.298927196	73.62077063	0	0	0	0	17	17	0	0	NA
12	Indian	Comoros	GrandeComore	Comoros, GrandeComore	54294	43.354209	-11.662581	1021.61	307.45	0.736	2322	25.4	2410	525	4.048294405	57.29964368	525	4.048294405	57.29964368	0	0	0	0	20	20	0	0	NA
