Occurrence.ID	Island.ID	Region	Archipelago	Island	Class	Order	Family	Species	Status	Status.binary
1	1	Atlantic	Canaryislands	LaGomera	Aves	Charadriiformes	Laridae	Larus michahellis	Extant	0
2	1	Atlantic	Canaryislands	LaGomera	Aves	Columbiformes	Columbidae	Columba bollii	Extant	0
3	1	Atlantic	Canaryislands	LaGomera	Aves	Columbiformes	Columbidae	Columba junoniae	Extant	0
4	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Corvidae	Corvus corax	Extant	0
5	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Sylviidae	Sylvia atricapilla	Extant	0
6	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Sylviidae	Sylvia conspicillata	Extant	0
7	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Sylviidae	Sylvia melanocephala	Extant	0
8	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Turdidae	Erithacus rubecula	Extant	0
9	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Turdidae	Turdus merula	Extant	0
10	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Paridae	Parus teneriffae	Extant	0
11	1	Atlantic	Canaryislands	LaGomera	Aves	Passeriformes	Fringillidae	Fringilla coelebs	Extant	0
12	1	Atlantic	Canaryislands	LaGomera	Reptilia	Squamata	Scincidae	Chalcides viridanus	Extant	0
13	1	Atlantic	Canaryislands	LaGomera	Reptilia	Squamata	Lacertidae	Gallotia gomerana	Extant	0
14	1	Atlantic	Canaryislands	LaGomera	Reptilia	Squamata	Lacertidae	Gallotia caesaris	Extant	0
15	1	Atlantic	Canaryislands	LaGomera	Reptilia	Squamata	Lacertidae	Gallotia simonyi	Extinct	1
16	2	Atlantic	Canaryislands	Lanzarote	Aves	Charadriiformes	Laridae	Larus michahellis	Extant	0
17	2	Atlantic	Canaryislands	Lanzarote	Aves	Gruiformes	Utidae	Chlamydotis undulata	Extant	0
18	2	Atlantic	Canaryislands	Lanzarote	Aves	Passeriformes	Sylviidae	Sylvia conspicillata	Extant	0
19	2	Atlantic	Canaryislands	Lanzarote	Aves	Passeriformes	Paridae	Parus teneriffae	Extant	0
20	2	Atlantic	Canaryislands	Lanzarote	Aves	Passeriformes	Corvidae	Corvus corax	Extant	0
21	2	Atlantic	Canaryislands	Lanzarote	Reptilia	Squamata	Lacertidae	Gallotia atlantica	Extant	0
22	2	Atlantic	Canaryislands	Lanzarote	Reptilia	Squamata	Scincidae	Chalcides viridanus	Extant	0
23	3	Atlantic	Canaryislands	LaPalma	Aves	Charadriiformes	Laridae	Larus michahellis	Extant	0
24	3	Atlantic	Canaryislands	LaPalma	Aves	Columbiformes	Columbidae	Columba bollii	Extant	0
25	3	Atlantic	Canaryislands	LaPalma	Aves	Columbiformes	Columbidae	Columba junoniae	Extant	0
26	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Corvidae	Corvus corax	Extant	0
27	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Corvidae	Pyrrhocorax pyrrhocorax	Extant	0
28	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Sylviidae	Sylvia atricapilla	Extant	0
29	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Sylviidae	Sylvia conspicillata	Extant	0
30	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Sylviidae	Sylvia melanocephala	Extant	0
31	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Turdidae	Erithacus rubecula	Extant	0
32	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Turdidae	Turdus merula	Extant	0
33	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Paridae	Parus teneriffae	Extant	0
34	3	Atlantic	Canaryislands	LaPalma	Aves	Passeriformes	Fringillidae	Fringilla coelebs	Extant	0
35	3	Atlantic	Canaryislands	LaPalma	Reptilia	Squamata	Lacertidae	Gallotia goliath	Extinct	1
36	3	Atlantic	Canaryislands	LaPalma	Reptilia	Squamata	Lacertidae	Gallotia galloti	Extant	0
37	4	Atlantic	CapeVerde	BoaVista	Aves	Passeriformes	Corvidae	Corvus ruficollis	Extant	0
38	4	Atlantic	CapeVerde	BoaVista	Aves	Passeriformes	Sylviidae	Sylvia atricapilla	Extant	0
39	4	Atlantic	CapeVerde	BoaVista	Aves	Passeriformes	Sylviidae	Sylvia conspicillata	Extant	0
40	5	Atlantic	CapeVerde	Santiago1	Aves	Passeriformes	Corvidae	Corvus ruficollis	Extant	0
41	5	Atlantic	CapeVerde	Santiago1	Aves	Passeriformes	Sylviidae	Sylvia atricapilla	Extant	0
42	5	Atlantic	CapeVerde	Santiago1	Aves	Passeriformes	Sylviidae	Sylvia conspicillata	Extant	0
43	6	Atlantic	CapeVerde	SantoAntao	Aves	Passeriformes	Corvidae	Corvus ruficollis	Extant	0
44	6	Atlantic	CapeVerde	SantoAntao	Aves	Passeriformes	Sylviidae	Sylvia atricapilla	Extant	0
45	6	Atlantic	CapeVerde	SantoAntao	Aves	Passeriformes	Sylviidae	Sylvia conspicillata	Extant	0
46	7	Atlantic	CapeVerde	SaoNicolao	Aves	Passeriformes	Corvidae	Corvus ruficollis	Extant	0
47	7	Atlantic	CapeVerde	SaoNicolao	Aves	Passeriformes	Sylviidae	Sylvia atricapilla	Extant	0
