Image_IR_#,Species_given_name,Species_code,Species_latin_name_or_taxa,Order,Familly,length_mm,width_mm,height_mm,mm/dd/yy,Local_hour,Tbody_C,Tleaf_C,Tbody-Tleaf
3477,Snake fly,rhaph,Agulla sp.,Neuroptera,Raphidiidae,18.8,na,2.1,6/22/2019,15:28,19.3,16.4,2.9
8206,Snake fly,rhaph,Agulla sp.,Neuroptera,Raphidiidae,18.8,na,2.1,6/19/2019,11:19,14.8,11.4,3.4
8212,Leaf-footed bug,bhem,Althos sp.,Heteroptera,Coreidae,7.4,,1.8,6/19/2019,11:38,19.6,14.5,5.1
8209,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/19/2019,11:31,20.8,15.8,5
8210,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/19/2019,11:33,19.5,11.2,8.3
8218,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/19/2019,11:57,17.7,13.9,3.8
8493,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/21/2019,15:21,35.4,23.5,11.9
2978,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/21/2019,10:35,35.8,27,8.8
3033,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/21/2019,13:18,35.2,27.6,7.6
3434,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/22/2019,9:21,25.4,21.8,3.6
3435,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/22/2019,9:22,26.3,21.5,4.8
3436,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/22/2019,9:23,29.4,25.2,4.2
2061,Green stink bug,pent,Chinavia sp.,Hemiptera,Pentatomidae,12.325,7.333333333,4.7,6/26/2019,14:23,23,16.7,6.3
8472,Leafhopper,lhg,Thyphlocyba sp.,Hemiptera,Cicadellidae,3,0.9,0.441,6/21/2019,14:26,27.2,26.1,1.1
