Species,SVL_male_mm,SVL_female_mm,SVL_adult_mm,TL_male_mm,TL_female_mm,TL_adult_mm
Alytes cisternasii,36.75,38.38,37.56,37.75,39.83,37.56
Alytes dickhilleni,44.70,DD,47.17,DD,DD,47.17
Alytes muletensis,34.70,35.65,35.18,DD,DD,35.18
Alytes obstetricans,45.05,49.57,47.31,46.15,51.60,47.31
Anaxyrus americanus,62.87,76.89,69.88,64.56,76.89,69.88
Atylodes genei,53.29,49.00,51.15,DD,DD,98.24
Bombina bombina,38.89,40.00,39.44,36.60,36.80,39.44
Bombina pachypus,45.75,45.25,45.50,DD,DD,45.50
Bombina variegata,45.08,44.34,44.71,DD,DD,44.71
Bufo bufo,66.11,88.46,77.28,62.73,83.17,77.28
Bufo mauritanicus,132.00,150.00,141.00,DD,DD,141.00
Calotriton arnoldi,58.95,58.45,58.70,104.60,104.60,103.95
Calotriton asper,64.97,61.67,63.32,112.93,121.01,116.70
Chioglossa lusitanica,45.09,45.94,45.51,156.00,164.00,159.00
Discoglossus galganoi,54.85,49.20,52.03,50.50,46.50,52.03
Discoglossus jeanneae,39.50,40.70,40.10,DD,DD,40.10
Discoglossus montalentii,DD,DD,60.00,DD,DD,60.00
Discoglossus pictus,56.49,47.86,52.18,DD,DD,52.18
Discoglossus sardus,54.60,55.50,55.05,DD,DD,55.05
Epidalea calamita,59.03,67.13,63.08,72.88,72.75,63.08
Euproctus montanus,56.00,58.00,57.00,DD,DD,116.50
Euproctus platycephalus,59.85,43.55,51.70,127.00,112.00,120.00
Hyla arborea,41.19,44.03,42.61,43.07,44.35,42.61
Hyla intermedia,38.03,43.93,40.98,DD,DD,40.98
Hyla meridionalis,38.59,39.45,39.02,DD,DD,39.02
Hyla sarda,DD,DD,35.60,DD,DD,35.60
Lissotriton boscai,32.18,38.12,35.15,66.44,77.20,72.49
Lissotriton helveticus,34.50,39.64,37.07,72.00,76.00,77.24
Lissotriton italicus,DD,DD,DD,DD,80.00,67.28
Lissotriton montandoni,38.79,45.04,41.91,75.00,100.00,83.85
Lissotriton vulgaris,39.98,41.38,40.68,72.00,76.00,84.23
Lithobates catesbeianus,134.74,135.53,135.14,105.30,113.20,135.14
Lithobates sylvaticus,53.04,62.32,57.68,46.05,52.55,57.68
Lyciasalamandra helverseni,DD,DD,DD,DD,DD,140.00
Lyciasalamandra luschani,62.83,61.34,62.08,126.00,129.00,118.65
Mesotriton alpestris,45.59,53.84,49.72,92.00,120.00,95.06
Pelobates cultripes,65.90,70.18,68.04,70.00,80.00,68.04
Pelobates fuscus,48.91,57.13,53.02,45.87,53.89,53.02
Pelobates syriacus,DD,DD,90.00,DD,DD,90.00
Pelodytes ibericus,35.17,40.72,37.95,DD,DD,37.95
Pelodytes punctatus,36.67,43.31,45.88,36.32,43.31,45.88
Pelophylax bedriagae,58.80,61.70,60.25,DD,DD,60.25
Pelophylax bergeri,50.00,57.50,53.75,DD,DD,53.75
Pelophylax cerigensis,DD,DD,62.25,DD,DD,62.25
Pelophylax cretensis,DD,DD,72.30,DD,DD,72.30
Pelophylax epeiroticus,72.42,83.98,78.20,74.40,83.00,78.20
Pelophylax esculentus,79.71,97.88,88.79,DD,DD,88.79
Pelophylax grafi,DD,DD,92.50,DD,DD,92.50
Pelophylax hispanicus,DD,DD,100.00,DD,DD,100.00
Pelophylax kurtmuelleri,DD,DD,100.00,DD,DD,100.00
Pelophylax lessonae,54.45,60.25,57.35,DD,DD,57.35
Pelophylax perezi,50.33,61.60,55.96,52.00,65.60,55.96
Pelophylax ridibundus,72.24,87.88,80.06,DD,DD,80.06
Pelophylax shqipericus,70.60,73.80,72.20,70.60,73.80,72.20
Pleurodeles waltl,87.40,82.25,84.83,78.22,142.00,218.30
Proteus anguinus,DD,DD,169.90,DD,DD,257.00
Pseudepidalea viridis,69.95,78.77,74.36,DD,DD,74.36
Rana arvalis,57.89,56.48,#DIV/0!,DD,DD,57.19
Rana dalmatina,49.17,64.57,56.87,55.65,64.90,56.87
Rana graeca,51.75,58.00,54.88,DD,DD,54.88
Rana iberica,37.71,45.09,41.40,39.13,46.14,41.40
Rana italica,DD,DD,60.00,DD,DD,60.00
Rana latastei,42.42,45.44,43.93,DD,DD,43.93
Rana pyrenaica,38.50,43.00,40.75,DD,DD,40.75
Rana temporaria,69.45,70.83,70.14,67.57,72.39,70.14
Salamandra algira,DD,DD,80.20,DD,DD,188.75
Salamandra atra,66.95,71.23,69.09,144.00,151.00,115.15
Salamandra corsica,DD,DD,DD,180.00,190.00,200.00
Salamandra lanzai,82.55,83.68,83.11,DD,DD,138.00
Salamandra salamandra,129.75,155.25,142.50,DD,DD,175.25
Salamandrina perspicillata,31.00,40.33,35.66,DD,DD,92.95
Salamandrina terdigitata,DD,DD,33.31,90.00,110.00,94.00
Speleomantes ambrosii,53.31,55.93,54.62,DD,DD,125.00
Speleomantes flavus,60.00,63.92,61.96,DD,DD,112.50
Speleomantes imperialis,60.85,62.16,61.51,DD,DD,121.61
Speleomantes italicus,52.20,56.23,54.22,DD,DD,94.61
Speleomantes sarrabusensis,DD,DD,DD,DD,DD,DD
Speleomantes strinatii,58.48,63.59,61.03,115.00,125.00,119.50
Speleomantes supramontis,60.47,63.60,62.04,DD,DD,116.59
Triturus carnifex,70.19,72.28,71.24,DD,DD,144.42
Triturus cristatus,64.33,69.28,66.81,140.00,180.00,140.05
Triturus dobrogicus,62.99,66.69,64.84,120.00,130.00,132.08
Triturus karelinii,68.84,71.12,69.98,109.21,122.33,136.89
Triturus marmoratus,65.74,72.43,69.08,132.00,146.00,138.30
Triturus pygmaeus,49.49,43.90,46.70,DD,DD,101.07
Xenopus laevis,62.49,73.30,67.90,59.90,63.30,67.90
