"initial_name","genus","species","scientificName","kingdom","phylum","class","order","family","db","db_code","DispersalDistance","Source","Sex","Unit","Code","Field","ObservationTypeSpecific","ObservationTypeGeneral","Database","DispersalDistanceKm"
"Agkistrodon contortrix","Agkistrodon","contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881",660,NA,NA,"m","MaxDispersalDistance","Max._Indiv._Dispersal_Distance_(m)","individual movement distance","movement study","Jenkins et al. 2007",0.66
"Ambystoma barbouri","Ambystoma","barbouri","Ambystoma barbouri","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006",30,"Douglas and Monroe 1981",NA,"m","MaxDispersalDistance","Max_distance_recorded_(m)","mark-release-recapture","movement study","Smith & Green 2005",0.03
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006",450,"Williams 1973",NA,"m","MaxDispersalDistance","Max_distance_recorded_(m)","mark-release-recapture","movement study","Smith & Green 2005",0.45
"Ambystoma opacum","Ambystoma","opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006",1000,"Pechmann et al. 2001",NA,"m","MaxDispersalDistance","Max_distance_recorded_(m)","mark-release-recapture","movement study","Smith & Green 2005",1
"Ammospiza maritima","Ammospiza","maritima","Ammodramus maritimus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphispiza bilineata","Amphispiza","bilineata","Amphispiza bilineata","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaxyrus woodhousii","Anaxyrus","woodhousii","Anaxyrus woodhousii","Animalia","Chordata","Amphibia","Anura","Bufonidae","gbif","GBIF:2422865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arborimus albipes","Arborimus","albipes","Arborimus albipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arborimus longicaudus","Arborimus","longicaudus","Arborimus longicaudus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisiospiza nevadensis","Artemisiospiza","nevadensis","Artemisiospiza nevadensis","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:8276794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspidoscelis sexlineata","Aspidoscelis","sexlineata","Aspidoscelis sexlineatus","Animalia","Chordata","Squamata",NA,"Teiidae","gbif","GBIF:2472425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Batrachoseps wrighti","Batrachoseps","wrighti","Batrachoseps wrighti","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carphophis amoenus","Carphophis","amoenus","Carphophis amoenus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2457092",49,NA,NA,"m","MaxDispersalDistance","Max._Indiv._Dispersal_Distance_(m)","individual movement distance","movement study","Jenkins et al. 2007",0.049
"Chaetodipus hispidus","Chaetodipus","hispidus","Chaetodipus hispidus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaea fasciata","Chamaea","fasciata","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif","GBIF:2493558",0.4,"Prugh_etal",NA,"km","DispersalDistance","dispersal_km",NA,NA,"Straus et al. (unpub)",0.4
"Coragyps atratus","Coragyps","atratus","Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corvus ossifragus","Corvus","ossifragus","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corynorhinus rafinesquii","Corynorhinus","rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalus horridus","Crotalus","horridus","Crotalus horridus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:2444468",4070,NA,NA,"m","MaxDispersalDistance","Max._Indiv._Dispersal_Distance_(m)","individual movement distance","movement study","Jenkins et al. 2007",4.07
"Cryptobranchus alleganiensis","Cryptobranchus","alleganiensis","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","gbif","GBIF:2432031",990,"Nickerson and Mays 1973",NA,"m","MaxDispersalDistance","Max_distance_recorded_(m)","mark-release-recapture","movement study","Smith & Green 2005",0.99
