"","scientific_name.x","dispersal_km","source_dispersal","mean.hra.m2","source_hra","Mass_kg","Mass_source"
"1","Agkistrodon contortrix",0.66,"Jenkins_et_al_2007","119288.89","Tamburello_etal",0.23112,"tamburello_etal"
"2","Ambystoma barbouri",NA,NA,NA,NA,NA,NA
"3","Ambystoma opacum",1,"Jenkins_et_al_2007",NA,NA,0.00493,"Semlitch_1983"
"4","Ammodramus leconteii",NA,NA,NA,NA,NA,NA
"5","Ammodramus maritimus",NA,NA,NA,NA,NA,NA
"6","Amphispiza bilineata",NA,NA,NA,NA,NA,NA
"7","Anas clypeata",NA,NA,NA,NA,NA,NA
"8","Anas crecca",0.5,"Fox_1986","747500","Legagneux_etal",0.35,"Hein_etal_2012"
"9","Anas cyanoptera",NA,NA,NA,NA,NA,NA
"10","Anas discors",NA,NA,NA,NA,NA,NA
"11","Anaxyrus woodhousii",NA,NA,NA,NA,NA,NA
"12","Arborimus albipes",NA,NA,NA,NA,NA,NA
"13","Arborimus longicaudus",NA,NA,NA,NA,NA,NA
"14","Artemisiospiza nevadensis",NA,NA,NA,NA,NA,NA
"15","Aspidoscelis sexlineatus",NA,NA,NA,NA,NA,NA
"16","Batrachoseps wrighti",NA,NA,NA,NA,NA,NA
"17","Cairina moschata",NA,NA,NA,NA,NA,NA
"18","Callipepla squamata",NA,NA,NA,NA,NA,NA
"19","Carphophis amoenus",NA,NA,NA,NA,NA,NA
"20","Chaetodipus hispidus",NA,NA,NA,NA,NA,NA
"21","Chamaea fasciata",0.4,"Prugh_etal","3200","Mace_Harvey_1983",0.0148,"Mace_Harvey_1983"
"22","Chelonia mydas",NA,NA,NA,NA,NA,NA
"23","Coragyps atratus",NA,NA,NA,NA,NA,NA
"24","Corvus ossifragus",NA,NA,NA,NA,NA,NA
"25","Corynorhinus rafinesquii",NA,NA,NA,NA,NA,NA
"26","Crotalus horridus",4.07,"Jenkins_et_al_2007","2579600","Tamburello_etal",1.02,"Tamburello_etal_2015"
"27","Cryptobranchus alleganiensis",0.99,"Jenkins_et_al_2007","110","Hillis&Bellis_1971",0.571,"Humphries_Pauley_2005"
"28","Desmognathus monticola",NA,NA,NA,NA,NA,NA
"29","Didelphis virginiana",4.726,"Whitmee_Orme_2013","109062.78","McNab_1963",3.63,"McNab_1963"
"30","Dryobates pubescens",NA,NA,NA,NA,NA,NA
"31","Egretta tricolor",NA,NA,NA,NA,NA,NA
"32","Elanus leucurus",160,"Jenkins_et_al_2007","78000","Bowman_2003",0.325,"Jenkins_etal_2007"
"33","Elgaria multicarinata",NA,NA,NA,NA,NA,NA
"34","Euderma maculatum",NA,NA,NA,NA,NA,NA
"35","Eurycea cirrigera",NA,NA,NA,NA,NA,NA
"36","Eurycea longicauda",NA,NA,NA,NA,NA,NA
"37","Eurycea lucifuga",NA,NA,NA,NA,NA,NA
"38","Gallinula chloropus",NA,NA,NA,NA,NA,NA
"39","Geothlypis formosa",NA,NA,NA,NA,NA,NA
"40","Gymnorhinus cyanocephalus",640,"Jenkins_et_al_2007","5.98E+07","Johnson_etal_2016",0.103,"Jenkins_etal_2007"
"41","Hypsiglena torquata",NA,NA,NA,NA,NA,NA
"42","Lampropeltis calligaster",NA,NA,NA,NA,NA,NA
"43","Lampropeltis gentilis",NA,NA,NA,NA,NA,NA
"44","Lampropeltis nigra",NA,NA,NA,NA,NA,NA
"45","Larus smithsonianus",NA,NA,NA,NA,NA,NA
"46","Lasiurus seminolus",NA,NA,NA,NA,NA,NA
"47","Lepus californicus",45.061,"Santini_2013","1592758.75","Tamburello_etal",2.26798,"Tamburello_etal_2015"
"48","Lepus europaeus",2.057,"Santini_2013","286615.72","Tamburello_etal",5.25001,"Tamburello_etal_2015"
"49","Leuconotopicus albolarvatus",NA,NA,NA,NA,NA,NA
"50","Leuconotopicus villosus",NA,NA,NA,NA,NA,NA
"51","Leucophaeus pipixcan",NA,NA,NA,NA,NA,NA
"52","Limnothlypis swainsonii",NA,NA,NA,NA,NA,NA
"53","Lithobates areolatus",NA,NA,NA,NA,NA,NA
