scientific_name,genus,species
Arborimus albipes,Arborimus,albipes
Arborimus longicaudus,Arborimus,longicaudus
Artemisiospiza nevadensis,Artemisiospiza,nevadensis
Aspidoscelis sexlineata,Aspidoscelis,sexlineata
Batrachoseps wrighti,Batrachoseps,wrighti
Carphophis amoenus,Carphophis,amoenus
Chaetodipus hispidus,Chaetodipus,hispidus
Chamaea fasciata,Chamaea,fasciata
Coragyps atratus,Coragyps,atratus
Corvus ossifragus,Corvus,ossifragus
Corynorhinus rafinesquii,Corynorhinus,rafinesquii
Crotalus horridus,Crotalus,horridus
Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis
Desmognathus monticola,Desmognathus,monticola
Elgaria multicarinata,Elgaria,multicarinata
Eurycea cirrigera,Eurycea,cirrigera
Eurycea longicauda,Eurycea,longicauda
Eurycea lucifuga,Eurycea,lucifuga
Geothlypis formosa,Geothlypis,formosa
Gymnorhinus cyanocephalus,Gymnorhinus,cyanocephalus
Lampropeltis gentilis,Lampropeltis,gentilis
Lampropeltis calligaster,Lampropeltis,calligaster
Lampropeltis nigra,Lampropeltis,nigra
Lepus californicus,Lepus,californicus
Limnothlypis swainsonii,Limnothlypis,swainsonii
Lithobates areolatus,Lithobates,areolatus
Lithobates blairi,Lithobates,blairi
Lithobates sphenocephalus,Lithobates,sphenocephalus
Malaclemys terrapin,Malaclemys,terrapin
Marmota olympus,Marmota,olympus
Masticophis taeniatus,Masticophis,taeniatus
Melanerpes formicivorus,Melanerpes,formicivorus
Myiarchus cinerascens,Myiarchus,cinerascens
Myodes californicus,Myodes,californicus
Neotoma fuscipes,Neotoma,fuscipes
Nerodia erythrogaster,Nerodia,erythrogaster
Nyctanassa violacea,Nyctanassa,violacea
Nycticeius humeralis,Nycticeius,humeralis
Ochrotomys nuttalli,Ochrotomys,nuttalli
Opheodrys aestivus,Opheodrys,aestivus
Ophisaurus attenuatus,Ophisaurus,attenuatus
Otospermophilus beecheyi,Otospermophilus,beecheyi
Pantherophis guttatus,Pantherophis,guttatus
Pantherophis alleghaniensis,Pantherophis,alleghaniensis
Pantherophis ramspotti,Pantherophis,ramspotti
Parastrellus hesperus,Parastrellus,hesperus
Passerina caerulea,Passerina,caerulea
Perognathus flavescens,Perognathus,flavescens
Peromyscus boylii,Peromyscus,boylii
Peromyscus truei,Peromyscus,truei
Phrynosoma douglasii,Phrynosoma,douglasii
Pipilo chlorurus,Pipilo,chlorurus
Piranga rubra,Piranga,rubra
Plestiodon laticeps,Plestiodon,laticeps
Plestiodon anthracinus,Plestiodon,anthracinus
Plethodon cylindraceus,Plethodon,cylindraceus
Plethodon dorsalis,Plethodon,dorsalis
Plethodon dunni,Plethodon,dunni
Plethodon electromorphus,Plethodon,electromorphus
Plethodon glutinosus,Plethodon,glutinosus
Plethodon kentucki,Plethodon,kentucki
Plethodon richmondi,Plethodon,richmondi
Poecile carolinensis,Poecile,carolinensis
Pseudacris brachyphona,Pseudacris,brachyphona
Pseudacris feriarum,Pseudacris,feriarum
Pseudacris kalmi,Pseudacris,kalmi
Pseudotriton montanus,Pseudotriton,montanus
Rallus crepitans,Rallus,crepitans
Rana boylii,Rana,boylii
Rana cascadae,Rana,cascadae
Regina grahamii,Regina,grahamii
Reithrodontomys montanus,Reithrodontomys,montanus
Reithrodontomys humulis,Reithrodontomys,humulis
Sayornis nigricans,Sayornis,nigricans
Scaphiopus holbrookii,Scaphiopus,holbrookii
Sceloporus occidentalis,Sceloporus,occidentalis
Sceloporus undulatus,Sceloporus,undulatus
Sceloporus graciosus,Sceloporus,graciosus
Scincella lateralis,Scincella,lateralis
Sciurus griseus,Sciurus,griseus
Setophaga dominica,Setophaga,dominica
Setophaga occidentalis,Setophaga,occidentalis
Siren intermedia,Siren,intermedia
Sorex longirostris,Sorex,longirostris
Sorex merriami,Sorex,merriami
Sorex nanus,Sorex,nanus
Sorex sonomae,Sorex,sonomae
Spinus psaltria,Spinus,psaltria
Sternula antillarum,Sternula,antillarum
Sylvilagus transitionalis,Sylvilagus,transitionalis
Sylvilagus audubonii,Sylvilagus,audubonii
Sylvilagus bachmani,Sylvilagus,bachmani
Tadarida brasiliensis,Tadarida,brasiliensis
Thalasseus maximus,Thalasseus,maximus
Thomomys idahoensis,Thomomys,idahoensis
Thomomys mazama,Thomomys,mazama
Tyrannus vociferans,Tyrannus,vociferans
Urocitellus elegans,Urocitellus,elegans
Uta stansburiana,Uta,stansburiana
Vireo bellii,Vireo,bellii
Virginia valeriae,Virginia,valeriae
